"payment_month","game_name","language","has_older_device_model","age","mrr","paid_users","arppu","new_paid_users","new_mrr","back_from_churn_users","back_from_churn_mrr","churned_users","churned_revenue","previous_paid_users","previous_mrr","churn_rate","revenue_churn_rate","expansion_mrr","contraction_mrr","net_mrr_growth","lt_months","ltv"
2022-10-01,game 3,uk,false,27,0,0,,0,0,0,0,1,64.95,1,64.95,1.0000,1.0000,0,0,-64.95,1.00,
2022-10-01,game 3,uk,false,28,73.98,2,36.99,0,0,0,0,2,90.51,4,147.51,0.5000,0.6136,33.84,-16.86,-73.53,2.00,73.98
2022-10-01,game 3,uk,false,29,39.72,3,13.24,0,0,1,13.59,1,15.06,3,72.33,0.3333,0.2082,0,-31.14,-32.61,3.00,39.72
2022-10-01,game 3,uk,false,30,109.20,3,36.40,0,0,0,0,3,76.47,6,148.08,0.5000,0.5164,60.45,-22.86,-38.88,2.00,72.80
2022-10-01,game 3,uk,false,31,35.73,1,35.73,0,0,0,0,1,63.30,2,98.79,0.5000,0.6408,0.24,0,-63.06,2.00,71.46
2022-10-01,game 3,uk,false,32,138.27,4,34.57,0,0,0,0,2,39.45,6,230.43,0.3333,0.1712,21.48,-74.19,-92.16,3.00,103.72
2022-10-01,game 3,uk,false,33,52.98,3,17.66,0,0,0,0,0,0,3,49.50,0.0000,0.0000,4.89,-1.41,3.48,,
2022-10-01,game 3,uk,false,34,19.23,1,19.23,0,0,0,0,1,35.43,2,71.88,0.5000,0.4929,0,-17.22,-52.65,2.00,38.46
2022-10-01,game 3,uk,false,37,12.33,1,12.33,0,0,1,12.33,0,0,0,0,,,0,0,12.33,,
2022-10-01,game 3,uk,false,38,143.19,2,71.60,0,0,0,0,0,0,2,71.40,0.0000,0.0000,77.31,-5.52,71.79,,
2022-10-01,game 3,uk,false,39,0,0,,0,0,0,0,1,14.88,1,14.88,1.0000,1.0000,0,0,-14.88,1.00,
2022-10-01,game 3,uk,false,40,12.51,1,12.51,1,12.51,0,0,0,0,0,0,,,0,0,12.51,,
2022-10-01,game 3,uk,false,44,34.44,1,34.44,0,0,0,0,0,0,1,15.21,0.0000,0.0000,19.23,0,19.23,,
2022-10-01,game 3,uk,true,14,39.75,2,19.88,1,12.75,1,27.00,0,0,0,0,,,0,0,39.75,,
